Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Amyotrophic lateral sclerosis (ALS),0.41783993959884635,2.3129789080913956,0.0,0.0,51,43,TP53;PPP3CA;NEFM;BCL2L1;MAPK12;GRIN2A;MAPK14;GRIN2B;PPP3R1;RAC1;SOD1;BID;CASP3;RAB5A;MAPK13;CASP1;CAT;GPX1;CASP9;MAPK11;MAP3K5;GRIN2C;MAP2K3;BAX;BAD;DERL1;BCL2;GRIN1;MAP2K6;TNFRSF1A;GRIA2;DAXX;GRIA1;GRIN2D;PPP3CC;SLC1A2;PPP3R2;PPP3CB;CYCS;TNF;TNFRSF1B;APAF1;TOMM40,TP53;PPP3CA;NEFM;BCL2L1;MAPK12;GRIN2A;MAPK14;GRIN2B;PPP3R1;RAC1;SOD1;BID;CASP3;RAB5A;MAPK13;CASP1;CAT;GPX1;CASP9;MAPK11;MAP3K5;GRIN2C;MAP2K3;BAX;BAD;DERL1;BCL2;GRIN1;MAP2K6
Cellular senescence,0.3078666095432953,2.4043914402237503,0.0,0.0,160,135,AKT1;MAP2K1;MAPK1;TP53;MAPKAPK2;PPP3CA;KRAS;CALM2;HIPK1;RAF1;TGFBR2;HUS1;TGFB1;SIRT1;ATR;CCNA2;KIR2DL4;NFATC3;RHEB;RAD9A;SMAD3;GADD45A;CDK4;CDK6;CCND1;CCND2;ITPR1;MAPK12;CALM1;SLC25A4;MAPK14;E2F5;NRAS;CDK2;ZFP36L1;MYC;CCNB1;CDK1;VDAC1;PPP3R1;FOXO3;NFATC2;NFKB1;RRAS2;TGFB2;CHEK1;PPP1CA;MTOR;FBXW11;MAPK13;PIK3CA;MAPK11;SERPINE1;CDC25A;E2F1;TRAF3IP2;NFATC1;CCND3;MAP2K3;RELA;NFATC4;PIK3CD;MAP2K6;TSC2;SQSTM1;HLA-A;MAPK3;NBN;HIPK2;CDKN1A;CDKN2B;IL6;RAD1;ETS1;PTEN;SLC25A5;RB1;GADD45B;SMAD2;TGFB3;SLC25A6;TGFBR1;PPID;TRPV4;PIK3R3;MYBL2;FOXM1;MAP2K2;BTRC;KIR2DL3;RASSF5;MRE11;HIPK4;TRPM7;PIK3R2;HLA-B;CHEK2;TSC1;CCNA1;PPP3CC;HRAS;ATM;CCNE1;FOXO1;PIK3R1;KIR2DL1;PIK3CB;CALM3;RBBP4;PPP3R2;ITPR2;AKT3;PPP3CB;VDAC2;MDM2;E2F3;ITPR3;PPP1CC;CXCL8;HIPK3;CACNA1D;CALML6;GATA4;IGFBP3;AKT2;RAD50;EIF4EBP1;CAPN1;CCNE2;CDKN2A;CCNB2;RBL2;ZFP36L2;E2F4;RBL1,AKT1;MAP2K1;MAPK1;TP53;MAPKAPK2;PPP3CA;KRAS;CALM2;HIPK1;RAF1;TGFBR2;HUS1;TGFB1;SIRT1;ATR;CCNA2;KIR2DL4;NFATC3;RHEB;RAD9A;SMAD3;GADD45A;CDK4;CDK6;CCND1;CCND2;ITPR1;MAPK12;CALM1;SLC25A4;MAPK14;E2F5;NRAS;CDK2;ZFP36L1;MYC;CCNB1;CDK1;VDAC1;PPP3R1;FOXO3;NFATC2;NFKB1;RRAS2;TGFB2;CHEK1;PPP1CA;MTOR;FBXW11;MAPK13;PIK3CA;MAPK11;SERPINE1;CDC25A;E2F1;TRAF3IP2;NFATC1;CCND3;MAP2K3;RELA;NFATC4;PIK3CD;MAP2K6;TSC2;SQSTM1;HLA-A;MAPK3;NBN;HIPK2;CDKN1A;CDKN2B;IL6;RAD1;ETS1;PTEN;SLC25A5;RB1;GADD45B;SMAD2;TGFB3;SLC25A6;TGFBR1;PPID;TRPV4
Colorectal cancer,0.3419050651403557,2.336533566639501,0.0,0.0,86,79,AKT1;MAP2K1;ARAF;GRB2;BRAF;MAPK1;TP53;KRAS;RAF1;TGFBR2;EGFR;TGFB1;SMAD3;GADD45A;CCND1;NRAS;CTNNB1;MYC;RPS6KB2;RHOA;SMAD4;RAC1;TCF7;CASP3;TGFB2;MAPK9;AXIN1;MLH1;MTOR;MAPK8;BIRC5;PIK3CA;AXIN2;CASP9;AREG;RPS6KB1;BAX;PMAIP1;JUN;BAD;BCL2;GSK3B;PIK3CD;MAPK3;CDKN1A;TCF7L2;BBC3;MSH6;GADD45B;SMAD2;TGFB3;TGFBR1;LEF1;PIK3R3;MAP2K2;BAK1;PIK3R2;RALA;RALGDS;RALB;DDB2;FOS;EREG;HRAS;PIK3R1;RAC3;TGFA;PIK3CB;MSH2;AKT3;TCF7L1;APC;SOS2;CYCS;BCL2L11;EGF;AKT2;SOS1;MAPK10,AKT1;MAP2K1;ARAF;GRB2;BRAF;MAPK1;TP53;KRAS;RAF1;TGFBR2;EGFR;TGFB1;SMAD3;GADD45A;CCND1;NRAS;CTNNB1;MYC;RPS6KB2;RHOA;SMAD4;RAC1;TCF7;CASP3;TGFB2;MAPK9;AXIN1;MLH1;MTOR;MAPK8;BIRC5;PIK3CA;AXIN2;CASP9;AREG;RPS6KB1;BAX;PMAIP1;JUN;BAD;BCL2;GSK3B;PIK3CD;MAPK3;CDKN1A;TCF7L2;BBC3;MSH6;GADD45B;SMAD2;TGFB3;TGFBR1;LEF1;PIK3R3
FoxO signaling pathway,0.31800568971340326,2.313421930451575,0.0,0.0,132,119,AKT1;MAP2K1;ARAF;GRB2;BRAF;MAPK1;KRAS;RAF1;TGFBR2;EGFR;TGFB1;SIRT1;PDPK1;SMAD3;GADD45A;CCND1;CCND2;MAPK12;SOD2;MAPK14;NRAS;CDK2;CCNB1;SMAD4;BCL6;FOXO3;PRKAG3;CREBBP;CSNK1E;IL10;TGFB2;SGK1;MAPK9;EP300;USP7;PRKAB2;MAPK13;MAPK8;RAG1;CAT;IL7R;PIK3CA;S1PR1;MAPK11;BNIP3;STK11;PLK4;PRKAA2;C8ORF44-SGK3;INS;PLK2;PRMT1;STAT3;SGK2;PIK3CD;HOMER2;CCNG2;GABARAPL1;G6PC3;MAPK3;CDKN1A;SKP2;CDKN2B;S1PR4;IL6;SGK3;PTEN;FBXO32;GADD45B;SMAD2;IGF1;TGFB3;TGFBR1;PIK3R3;PLK3;PRKAB1;MAP2K2;IRS1;PRKAG1;CDKN1B;SLC2A4;FASLG;PCK2;PIK3R2;NLK;PCK1;STK4;PRKAG2;G6PC;HRAS;ATM;FOXO1;PIK3R1;GRM1;PIK3CB;CHUK;IGF1R;PLK1;AKT3;FOXO4;PRKAA1;G6PC2;SOS2;MDM2;BCL2L11;TNFSF10;SETD7;EGF;IKBKB;AKT2;KLF2;IRS2;CCNB2;INSR;RBL2;SOS1;RAG2;ATG12;MAPK10,AKT1;MAP2K1;ARAF;GRB2;BRAF;MAPK1;KRAS;RAF1;TGFBR2;EGFR;TGFB1;SIRT1;PDPK1;SMAD3;GADD45A;CCND1;CCND2;MAPK12;SOD2;MAPK14;NRAS;CDK2;CCNB1;SMAD4;BCL6;FOXO3;PRKAG3;CREBBP;CSNK1E;IL10;TGFB2;SGK1;MAPK9;EP300;USP7;PRKAB2;MAPK13;MAPK8;RAG1;CAT;IL7R;PIK3CA;S1PR1;MAPK11;BNIP3;STK11;PLK4;PRKAA2;C8ORF44-SGK3;INS;PLK2;PRMT1;STAT3;SGK2;PIK3CD;HOMER2;CCNG2;GABARAPL1;G6PC3;MAPK3;CDKN1A;SKP2;CDKN2B;S1PR4;IL6;SGK3;PTEN;FBXO32;GADD45B;SMAD2;IGF1;TGFB3;TGFBR1;PIK3R3;PLK3;PRKAB1;MAP2K2;IRS1;PRKAG1;CDKN1B;SLC2A4;FASLG;PCK2;PIK3R2;NLK;PCK1;STK4;PRKAG2
Human T-cell leukemia virus 1 infection,0.3081204429685903,2.3828231546293557,0.0,0.0,219,189,AKT1;MAP2K1;NFYB;MAPK1;TP53;HLA-DRA;PPP3CA;KRAS;CD3G;LCK;TGFBR2;TGFB1;ATR;CCNA2;BCL2L1;POLB;MAP3K1;NFATC3;SMAD3;CDK4;CCND1;CCND2;LTBR;CDKN2C;RELB;ELK4;SLC25A4;NRAS;B2M;CDK2;MYC;ATF2;HLA-DOA;ETS2;SMAD4;VDAC1;PPP3R1;FOSL1;KAT2A;NFATC2;HLA-DRB1;TRRAP;CREBBP;NFKB1;CREB3;CANX;PRKACG;HLA-DRB4;TGFB2;CD4;CHEK1;MAPK9;ADCY1;SPI1;CREB3L2;EP300;ITGB2;IL2;FDPS;MAPK8;CALR;MAP2K4;HLA-DMB;PIK3CA;PRKACB;E2F1;HLA-DMA;EGR1;HLA-DPB1;CREB1;NFATC1;IL1R1;CD40;CCND3;ADCY5;IL15RA;IL2RG;IL1R2;RELA;BAX;LTA;BUB3;JAK1;NRP1;HLA-DQA2;CSF2;JUN;NFKBIA;ADCY9;HLA-DRB5;ELK1;NFATC4;TSPO;BUB1B;PIK3CD;TNFRSF13C;KAT5;HLA-DOB;HLA-A;MAPK3;MAP3K3;TNFRSF1A;CDKN1A;CDKN2B;IL6;MAP3K14;ETS1;PTEN;SLC25A5;PTTG1;RB1;IL15;SMAD2;ADCY7;TGFB3;SLC25A6;TGFBR1;MSX1;IL2RA;PIK3R3;IKBKG;CRTC3;IL2RB;MAP2K2;SRF;XPO1;HLA-DQB1;ICAM1;CDC20;SLC2A1;CREB3L4;MSX2;PRKACA;PIK3R2;STAT5A;KAT2B;ADCY2;JAK3;TBPL1;HLA-B;CHEK2;FOS;HLA-DPA1;CCNA1;PPP3CC;HRAS;ATM;CCNE1;ANAPC5;ATF4;PIK3R1;EGR2;PIK3CB;CD3E;TBP;CHUK;HLA-DRB3;ADCY3;PPP3R2;AKT3;ITGAL;MMP7;PPP3CB;HLA-DQA1;XIAP;CD3D;VDAC2;ZFP36;E2F3;TNF;CREB3L1;ATF6B;NFKB2;DLG1;IKBKB;ESPL1;AKT2;RAN;CCNE2;CDKN2A;STAT5B;TCF3;CCNB2;TERT;GPS2;CREB5;ADCY6;ANAPC2;MAPK10,AKT1;MAP2K1;NFYB;MAPK1;TP53;HLA-DRA;PPP3CA;KRAS;CD3G;LCK;TGFBR2;TGFB1;ATR;CCNA2;BCL2L1;POLB;MAP3K1;NFATC3;SMAD3;CDK4;CCND1;CCND2;LTBR;CDKN2C;RELB;ELK4;SLC25A4;NRAS;B2M;CDK2;MYC;ATF2;HLA-DOA;ETS2;SMAD4;VDAC1;PPP3R1;FOSL1;KAT2A;NFATC2;HLA-DRB1;TRRAP;CREBBP;NFKB1;CREB3;CANX;PRKACG;HLA-DRB4;TGFB2;CD4;CHEK1;MAPK9;ADCY1;SPI1;CREB3L2;EP300;ITGB2;IL2;FDPS;MAPK8;CALR;MAP2K4;HLA-DMB;PIK3CA;PRKACB;E2F1;HLA-DMA;EGR1;HLA-DPB1;CREB1;NFATC1;IL1R1;CD40;CCND3;ADCY5;IL15RA;IL2RG;IL1R2;RELA;BAX;LTA;BUB3;JAK1;NRP1;HLA-DQA2;CSF2;JUN;NFKBIA;ADCY9;HLA-DRB5;ELK1;NFATC4;TSPO;BUB1B;PIK3CD;TNFRSF13C;KAT5;HLA-DOB;HLA-A;MAPK3;MAP3K3;TNFRSF1A;CDKN1A;CDKN2B;IL6;MAP3K14;ETS1;PTEN;SLC25A5;PTTG1;RB1;IL15;SMAD2;ADCY7;TGFB3;SLC25A6;TGFBR1
Intestinal immune network for IgA production,0.40799139006825985,2.3516265422009655,0.0,0.0,48,45,HLA-DRA;ICOSLG;TGFB1;ICOS;LTBR;HLA-DOA;CD28;HLA-DRB1;CD40LG;CXCR4;IL10;TNFRSF17;HLA-DRB4;IL2;CXCL12;HLA-DMB;HLA-DMA;HLA-DPB1;CD40;TNFSF13;IL15RA;PIGR;HLA-DQA2;HLA-DRB5;TNFRSF13C;HLA-DOB;IL6;CD86;MAP3K14;IL5;IL4;AICDA;IL15;HLA-DQB1;ITGB7;HLA-DPA1;ITGA4;TNFRSF13B;CCL28;HLA-DRB3;HLA-DQA1;TNFSF13B;CCR9;MADCAM1;CD80,HLA-DRA;ICOSLG;TGFB1;ICOS;LTBR;HLA-DOA;CD28;HLA-DRB1;CD40LG;CXCR4;IL10;TNFRSF17;HLA-DRB4;IL2;CXCL12;HLA-DMB;HLA-DMA;HLA-DPB1;CD40;TNFSF13;IL15RA;PIGR;HLA-DQA2;HLA-DRB5;TNFRSF13C;HLA-DOB;IL6;CD86;MAP3K14;IL5;IL4;AICDA;IL15
Toxoplasmosis,0.3405997832980536,2.4529512651672,0.0,0.0,113,99,AKT1;TYK2;MAPK1;HLA-DRA;ITGA6;ITGB1;TGFB1;BCL2L1;PDPK1;SOCS1;MAPK12;MAPK14;BIRC3;HLA-DOA;HLA-DRB1;CD40LG;IRGM;GNAI3;TLR2;IL10;NFKB1;CASP3;HLA-DRB4;TGFB2;MAPK9;IL12A;MAP3K7;MAPK13;IL10RB;HSPA2;MAPK8;HSPA1A;HLA-DMB;CASP9;MAPK11;HLA-DMA;HLA-DPB1;CD40;HSPA1B;NFKBIB;LAMB2;MAP2K3;RELA;IL12B;JAK1;HLA-DQA2;BAD;NFKBIA;STAT3;BCL2;HLA-DRB5;CIITA;TLR4;MAP2K6;HLA-DOB;MAPK3;TAB2;IFNGR1;TNFRSF1A;BIRC2;CASP8;CCR5;IRAK1;ALOX5;TGFB3;PIK3R6;IKBKG;IFNGR2;GNAI2;HSPA8;HLA-DQB1;PIK3CG;GNAI1;MYD88;PIK3R5;IL10RA;HLA-DPA1;LDLR;CHUK;STAT1;NOS2;PPIF;LAMB3;HLA-DRB3;AKT3;IFNG;HLA-DQA1;IRAK4;XIAP;CYCS;BIRC7;JAK2;TNF;LAMB1;LAMA3;IKBKB;TRAF6;AKT2;MAPK10,AKT1;TYK2;MAPK1;HLA-DRA;ITGA6;ITGB1;TGFB1;BCL2L1;PDPK1;SOCS1;MAPK12;MAPK14;BIRC3;HLA-DOA;HLA-DRB1;CD40LG;IRGM;GNAI3;TLR2;IL10;NFKB1;CASP3;HLA-DRB4;TGFB2;MAPK9;IL12A;MAP3K7;MAPK13;IL10RB;HSPA2;MAPK8;HSPA1A;HLA-DMB;CASP9;MAPK11;HLA-DMA;HLA-DPB1;CD40;HSPA1B;NFKBIB;LAMB2;MAP2K3;RELA;IL12B;JAK1;HLA-DQA2;BAD;NFKBIA;STAT3;BCL2;HLA-DRB5;CIITA;TLR4;MAP2K6;HLA-DOB;MAPK3;TAB2;IFNGR1;TNFRSF1A;BIRC2;CASP8;CCR5;IRAK1;ALOX5;TGFB3;PIK3R6
Pancreatic cancer,0.34981265078845447,2.276679678920683,0.0,0.0011628649926522265,75,71,AKT1;MAP2K1;ARAF;BRAF;MAPK1;TP53;RAD51;KRAS;RAF1;TGFBR2;EGFR;TGFB1;BCL2L1;SMAD3;GADD45A;CDK4;CDK6;CCND1;RPS6KB2;SMAD4;RAC1;ERBB2;CDC42;NFKB1;TGFB2;MAPK9;RALBP1;MTOR;ARHGEF6;MAPK8;PIK3CA;CASP9;E2F1;RPS6KB1;RELA;BAX;JAK1;BAD;STAT3;PIK3CD;MAPK3;CDKN1A;RB1;GADD45B;SMAD2;TGFB3;TGFBR1;PIK3R3;IKBKG;BAK1;VEGFA;BRCA2;PIK3R2;RALA;RALGDS;RALB;DDB2;PIK3R1;RAC3;TGFA;PIK3CB;CHUK;STAT1;AKT3;E2F3;EGF;IKBKB;AKT2;PLD1;CDKN2A;MAPK10,AKT1;MAP2K1;ARAF;BRAF;MAPK1;TP53;RAD51;KRAS;RAF1;TGFBR2;EGFR;TGFB1;BCL2L1;SMAD3;GADD45A;CDK4;CDK6;CCND1;RPS6KB2;SMAD4;RAC1;ERBB2;CDC42;NFKB1;TGFB2;MAPK9;RALBP1;MTOR;ARHGEF6;MAPK8;PIK3CA;CASP9;E2F1;RPS6KB1;RELA;BAX;JAK1;BAD;STAT3;PIK3CD;MAPK3;CDKN1A;RB1;GADD45B;SMAD2;TGFB3;TGFBR1;PIK3R3;IKBKG
Endometrial cancer,0.3809113038744316,2.283007871411683,0.0,0.001308223116733755,58,53,AKT1;MAP2K1;ARAF;GRB2;BRAF;MAPK1;TP53;KRAS;RAF1;EGFR;PDPK1;GADD45A;CCND1;NRAS;CTNNB1;MYC;FOXO3;ERBB2;TCF7;AXIN1;MLH1;PIK3CA;AXIN2;CASP9;CDH1;ILK;BAX;BAD;ELK1;GSK3B;PIK3CD;MAPK3;CDKN1A;TCF7L2;PTEN;GADD45B;LEF1;PIK3R3;MAP2K2;BAK1;PIK3R2;DDB2;HRAS;PIK3R1;PIK3CB;AKT3;TCF7L1;APC;SOS2;EGF;AKT2;SOS1;CTNNA1,AKT1;MAP2K1;ARAF;GRB2;BRAF;MAPK1;TP53;KRAS;RAF1;EGFR;PDPK1;GADD45A;CCND1;NRAS;CTNNB1;MYC;FOXO3;ERBB2;TCF7;AXIN1;MLH1;PIK3CA;AXIN2;CASP9;CDH1;ILK;BAX;BAD;ELK1;GSK3B;PIK3CD;MAPK3;CDKN1A;TCF7L2;PTEN;GADD45B;LEF1;PIK3R3
Leishmaniasis,0.3263453942794649,2.151727489324256,0.0,0.00165249235797948,74,69,MAPK1;HLA-DRA;ITGB1;TGFB1;NCF1;MAPK12;MAPK14;HLA-DOA;PRKCB;HLA-DRB1;TLR2;IL10;NFKB1;HLA-DRB4;TGFB2;FCGR3B;ITGB2;IL12A;MAP3K7;FCGR2A;MAPK13;HLA-DMB;MAPK11;HLA-DMA;HLA-DPB1;NFKBIB;RELA;IL12B;JAK1;HLA-DQA2;JUN;NFKBIA;HLA-DRB5;ELK1;TLR4;HLA-DOB;MAPK3;TAB2;IFNGR1;NCF4;IL4;IRAK1;FCGR1A;TGFB3;NCF2;C3;IFNGR2;CYBB;FCGR3A;HLA-DQB1;MYD88;FOS;HLA-DPA1;ITGA4;ITGAM;STAT1;NOS2;HLA-DRB3;IFNG;HLA-DQA1;IRAK4;JAK2;TNF;CR1;PTGS2;CYBA;TRAF6;IL1B;PTPN6,MAPK1;HLA-DRA;ITGB1;TGFB1;NCF1;MAPK12;MAPK14;HLA-DOA;PRKCB;HLA-DRB1;TLR2;IL10;NFKB1;HLA-DRB4;TGFB2;FCGR3B;ITGB2;IL12A;MAP3K7;FCGR2A;MAPK13;HLA-DMB;MAPK11;HLA-DMA;HLA-DPB1;NFKBIB;RELA;IL12B;JAK1;HLA-DQA2;JUN;NFKBIA;HLA-DRB5;ELK1;TLR4;HLA-DOB;MAPK3;TAB2;IFNGR1;NCF4;IL4;IRAK1;FCGR1A;TGFB3;NCF2;C3;IFNGR2
Kaposi sarcoma-associated herpesvirus infection,0.29179594671236236,2.2268403853242527,0.0,0.0017442974889783397,186,159,AKT1;MAP2K1;TYK2;GNG4;MAPK1;TP53;MAPKAPK2;PPP3CA;KRAS;CALM2;RAF1;GNB4;HIF1A;IKBKE;NFATC3;CDK4;CDK6;ATG3;IL6ST;CCND1;ITPR1;UBB;SRC;MAPK12;CALM1;GNG5;MAPK14;NRAS;CTNNB1;MYC;HCK;TRAF3;CXCL1;PPP3R1;NFATC2;RAC1;CXCL3;CREBBP;NFKB1;BID;CASP3;MAPK9;GNG7;FAS;EP300;MTOR;FADD;MAPK13;MAPK8;IFNA1;MAP2K4;PIK3CA;CASP9;MAPK11;IFNA2;E2F1;RCAN1;BECN1;CREB1;NFATC1;GNB5;GNG12;RELA;BAX;JAK1;CSF2;JUN;IFNA21;NFKBIA;STAT3;NFATC4;GSK3B;SYK;PIK3CD;MAP2K6;LYN;GABARAPL1;HLA-A;GNG11;MAPK3;IFNGR1;TNFRSF1A;CDKN1A;IL6;IRF7;CD86;FGF2;PIK3C3;IFNA7;IFNAR1;EIF2AK2;RB1;CASP8;TICAM1;CCR5;CXCL2;PIK3R6;C3;PIK3R3;IKBKG;MAP2K2;IFNA16;STAT2;PLCG2;CCR3;ICAM1;BAK1;VEGFA;PLCG1;PIK3CG;IFNA10;PIK3R2;IRF3;PIK3R5;GNB2;CD200R1;TBK1;HLA-B;MAP2K7;FOS;TRAF2;PPP3CC;HRAS;IFNB1;PIK3R1;GNGT2;PIK3CB;IFNA8;CALM3;CHUK;STAT1;IFNAR2;CCR4;PPP3R2;ITPR2;AKT3;IRF9;PPP3CB;TRADD;IFNA14;ZFP36;CYCS;E2F3;CCR1;ITPR3;JAK2;TLR3;CXCL8;IFNA5;CALML6;PTGS2;IFNA17;GNB1;MICB;IKBKB;AKT2;IFNA4;GNG8;MAPK10,AKT1;MAP2K1;TYK2;GNG4;MAPK1;TP53;MAPKAPK2;PPP3CA;KRAS;CALM2;RAF1;GNB4;HIF1A;IKBKE;NFATC3;CDK4;CDK6;ATG3;IL6ST;CCND1;ITPR1;UBB;SRC;MAPK12;CALM1;GNG5;MAPK14;NRAS;CTNNB1;MYC;HCK;TRAF3;CXCL1;PPP3R1;NFATC2;RAC1;CXCL3;CREBBP;NFKB1;BID;CASP3;MAPK9;GNG7;FAS;EP300;MTOR;FADD;MAPK13;MAPK8;IFNA1;MAP2K4;PIK3CA;CASP9;MAPK11;IFNA2;E2F1;RCAN1;BECN1;CREB1;NFATC1;GNB5;GNG12;RELA;BAX;JAK1;CSF2;JUN;IFNA21;NFKBIA;STAT3;NFATC4;GSK3B;SYK;PIK3CD;MAP2K6;LYN;GABARAPL1;HLA-A;GNG11;MAPK3;IFNGR1;TNFRSF1A;CDKN1A;IL6;IRF7;CD86;FGF2;PIK3C3;IFNA7;IFNAR1;EIF2AK2;RB1;CASP8;TICAM1;CCR5;CXCL2
Inflammatory mediator regulation of TRP channels,0.3130419271590884,2.1562121421689806,0.0,0.00174429748897834,100,81,BDKRB2;CALM2;TRPV3;TRPA1;KNG1;PRKCE;ITPR1;SRC;MAPK12;CALM1;MAPK14;PRKCD;PRKCB;HTR2A;PRKACG;MAPK9;ADCY1;PPP1CA;PTGER2;MAPK13;MAPK8;PLA2G4A;PIK3CA;PTGER4;MAPK11;PRKACB;TRPV1;PLCB3;PRKCG;IL1R1;ADCY5;MAP2K3;ADCY9;CYP4A11;HTR2C;JMJD7-PLA2G4B;PIK3CD;MAP2K6;GNAS;F2RL1;IL1RAP;IGF1;ADCY7;TRPV4;CAMK2A;PIK3R3;ASIC2;PLCG2;P2RY2;NTRK1;HRH1;PLCB1;PLCG1;TRPV2;PRKACA;PIK3R2;HTR2B;ADCY2;NGF;CAMK2G;ALOX12;PRKCH;PLA2G6;PRKCA;PIK3R1;PIK3CB;CALM3;ADCY3;ITPR2;PRKCQ;ASIC3;ITPR3;PPP1CC;CALML6;CAMK2D;IL1B;GNAQ;PLCB4;ADCY6;CAMK2B;MAPK10,BDKRB2;CALM2;TRPV3;TRPA1;KNG1;PRKCE;ITPR1;SRC;MAPK12;CALM1;MAPK14;PRKCD;PRKCB;HTR2A;PRKACG;MAPK9;ADCY1;PPP1CA;PTGER2;MAPK13;MAPK8;PLA2G4A;PIK3CA;PTGER4;MAPK11;PRKACB;TRPV1;PLCB3;PRKCG;IL1R1;ADCY5;MAP2K3;ADCY9;CYP4A11;HTR2C;JMJD7-PLA2G4B;PIK3CD;MAP2K6;GNAS;F2RL1;IL1RAP;IGF1;ADCY7;TRPV4;CAMK2A;PIK3R3;ASIC2;PLCG2;P2RY2;NTRK1;HRH1;PLCB1;PLCG1;TRPV2;PRKACA;PIK3R2;HTR2B;ADCY2;NGF;CAMK2G;ALOX12;PRKCH;PLA2G6;PRKCA
